ip,commands,unique,severity,intensity,diversity,total
123.231.87.161,19,5,0.29189725210772377,2.168069622707698,1.8597186998521975,4.319685574667619
47.82.99.25,69,1,0.4994961072854757,3.0747185113367563,0.7194373997043944,4.293652018326626
181.214.173.79,17,3,0.7551220443128857,2.0918181714524913,1.4388747994087887,4.285815015174165
167.99.148.102,12,3,0.9836733507184164,1.856303660640108,1.4388747994087887,4.278851810767313
213.209.159.158,34,1,0.9666267300396739,2.5730744360286955,0.7194373997043944,4.259138565772764
91.92.40.240,28,3,0.37670151802919677,2.436977384164902,1.4388747994087887,4.252553701602887
121.165.84.80,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
193.248.143.58,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
5.187.97.40,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
61.92.58.210,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
222.114.185.30,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
89.231.40.49,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
85.225.135.134,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
58.226.230.112,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
121.183.240.55,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
99.243.62.228,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
46.37.71.112,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
112.118.57.75,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
85.24.209.239,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
213.112.126.21,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
14.241.100.20,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
116.120.97.12,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
175.196.135.148,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
220.76.68.23,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
125.132.34.65,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
167.126.2.138,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
129.153.121.56,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
175.196.135.77,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
95.85.159.109,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
116.34.14.135,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
152.52.229.26,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
87.249.188.12,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
78.71.104.73,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
171.241.35.42,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
59.145.170.227,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
79.238.178.149,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
112.185.48.244,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
45.15.224.178,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
45.15.226.44,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
87.110.46.119,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
179.208.243.164,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
45.15.225.137,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
121.160.98.65,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
222.108.39.109,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
128.185.116.114,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
213.67.210.12,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
176.195.93.253,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
213.112.186.126,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
59.145.75.154,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
1.245.207.104,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
115.140.161.61,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
77.53.177.167,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
175.196.136.18,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
188.149.168.230,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
93.62.72.229,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
121.163.177.49,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
65.49.139.223,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
78.73.8.212,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
221.151.84.6,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
46.236.189.245,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
213.89.216.100,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
175.214.123.177,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
112.167.99.220,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
61.182.2.26,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
59.144.228.132,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
203.150.140.248,9,8,0.2873692936046924,1.6664255473996379,2.280562600295606,4.234357441299936
