ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
107.173.85.94,9,4,0.3822,0.3822,1.0374,1.1688,2.5884,2.5884,LOW,LOW,0,0,4,2.25,12544.268960316977,4,8,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
121.229.25.10,2,1,2.0843,3.54,0.5,0.0,2.5843,4.04,LOW,MEDIUM,5,0,3,0.6666666666666666,0.01715174913406372,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
125.227.156.55,6,3,0.7047,1.5869,0.8782,1.0,2.5829,3.4651,LOW,LOW,0,1,4,1.5,0.030621266365051268,6,6,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
173.254.234.162,75,1,0.0,0.0,2.58,0.0,2.58,2.58,LOW,LOW,0,0,75,1.0,2686.364609368642,1,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
103.144.28.85,68,1,0.0,2.0,2.5523,0.0,2.5523,4.5523,LOW,MEDIUM,69,0,69,0.9855072463768116,31214.118725717068,2,4,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
51.79.84.112,42,1,0.4892,0.4892,2.0544,0.0,2.5436,2.5436,LOW,LOW,0,0,42,1.0,60.153654698530836,2,3,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
52.187.9.8,64,1,0.0,2.0,2.5358,0.0,2.5358,4.5358,LOW,MEDIUM,65,0,66,0.9696969696969697,21755.120883468786,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
120.62.8.17,60,1,0.0,2.0,2.5188,0.0,2.5188,4.5188,LOW,MEDIUM,61,0,61,0.9836065573770492,16925.967558268705,2,4,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
46.225.127.111,60,1,0.0,2.0,2.5188,0.0,2.5188,4.5188,LOW,MEDIUM,61,0,60,1.0,2693.128828235467,2,4,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
186.72.123.54,6,3,0.6397,1.5219,0.8782,1.0,2.5179,3.4002,LOW,LOW,0,1,4,1.5,0.07305828332901002,6,6,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
212.34.110.108,6,3,0.6397,1.5219,0.8782,1.0,2.5179,3.4002,LOW,LOW,0,1,4,1.5,0.09244636694590251,4,6,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
91.92.40.176,12,3,0.3737,0.3737,1.1376,1.0,2.5113,2.5113,LOW,LOW,0,0,3,4.0,3.321698617935181,4,4,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
